0	a
I've also been amazed at all the new additions in the past few years: A new Jazz Bar, the most fantastic Dining Garden, the Best Thin Crust Pizzas, and now a Lasagna Menu which is to die for (these are not your average lasagnas)!	2
I lOVE THIS PLACE!	2
Keep up the good work guys!	2
I have to say I have never had a disapointing meal here.	2
We could have made a meal of the yummy dumplings from the dumpling menu.	2
Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.	2
Love Al Di La	2
I recommend this place to everyone.	2
Great food.	2
One of my favorite places in Brooklyn. 	2
The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.	2
Overpriced and not tasty 	0
The food here was mediocre at best. 	0
It was totally overpriced- fish and chips was about $15.... 	0
Tasty Dog!	2
An awesome organic dog, and a conscious eco friendly establishment.	2
One of the best hot dogs I have ever eaten.	2
Can't wait to go back.	2
The Cypriot restaurant has a lot going for it.	2
But the best pork souvlaki I ever had is the main thing.	2
Run don't walk.	2
Super YUMMY Pizza!	2
I was visiting New York City with a friend and we discovered this really warm and inviting restaurant.	2
I LOOOVE their eggplant pizza, as well as their pastas!	2
We had half/half pizza, mine was eggplant and my friend had the buffalo and it was sooo huge for a small size pizza!	2
We had fun eating in there, we were there like around 3 a.m. in the morning!	2
Will comeback for sure, wish they have it here in LA..	2
Excellent food, although the interior could use some help.	2
The space kind of feels like an Alice in Wonderland setting, without it trying to be that.	0
I paid just about $60 for a good meal, though :)	2
Great sake!	2
Reliable, Fresh Sushi	2
The sashimi is always fresh and the rolls are innovative and delicious.	2
Have never had a problem with service save a missing rice once.	2
Delivery can be spot on or lacking depending on the weather and the day of the week.	0
Delivery guy sometimes get upset if you don't tip more than 10%.	0
Best. Sushi. Ever.	2
This place has ruined me for neighborhood sushi.	2
Creative, consistent, fresh.	2
Excellent sashimi, and the millennium roll is beyond delicious.	2
Not cheap but very yummy.	0
Love it.	2
Very, very nice	2
The place is a bit hidden away, but once you get there, it's all worth it.	1
not only is the food	2
Loved It	2
We had a very nice time.	2
The waiter was attentive, the food was delicious and the views of the city were great.	2
I'd definitely go back again.	2
Great place to relax and enjoy your dinner	2
There is something about their atmosphere that makes me come back nearly every week.	2
Place is open till late, no dress code.	2
Good food: my favorite is the seafood spaghetti.	2
Highly recommended!	2
Excellent food for great prices	2
My husband and I have been sold on this from the first visit.	2
The wait staff is very courteous and accomodating.	2
The space is limited so be prepared to wait up to 45 minutes - 1 hour, but be richly rewarded when you savor the delicious indo-chinese food.	0
There are no negatives to speak of.	2
the bestt!	2
my favorite place lol	2
i love their chicken pasta cant remember the name but is sooo good	2
its alright	1
im not necessarily fanatical about this place, but it was a fun time for low pirces.	2
lobster was good, nothing spectacular.	1
its just a fun place to go, not a five star restaraunt.	1
Way below average	0
I think the pizza is so overrated and was under cooked.	0
Had no flavor and the staff is rude and not attentive.	0
Would NEVER go back	0
I love this place	2
I wasn't here for the pizza so I can't comment on that yet but what I had was very good.	2
The service was quick and friendly.	2
Everyone was smiling so that made me feel welcome.	2
I thought the restaurant was nice and clean.	2
I ordered the vitello alla marsala and I was pretty impressed.	2
The veal and the mushrooms were cooked perfectly.	2
The potato balls were not dry at all... in fact it was buttery.	2
The only downside... they only take cash which is OK if you know about it ahead of time.	0
I'll be back for sure.	2
WORST PLACE ON SMITH STREET IN BROOKLYN	0
Very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.	0
I would never recommend this place to anybody even for a casual dinner.	0
awesome	2
the food is always fresh ...	2
overpriced japanese food with mediocre service	0
Went here on sat 1/26 and was disappointed.	0
Chicken teriyaki had tomato or pimentos on top??	0
food was luke warm.	0
The waitress was not attentive at all.	0
I was looking for banana tempura for dessert and they dont have.	0
"Not because you are ""The Four Seasons""... – you are allowed to charge an arm and a leg for a romatic dinner."	0
The food was excellent as well as service, however, I left The Four Seasons very dissappointed.	2
I do not think dinner in Manhattan should cost $400.00 where I am not swept off my feet.	0
Red Dragon Roll - my favorite thing to eat, of any food group - hands down	2
Just go to Yamato and order the Red Dragon Roll.	2
If you don't like it, I don't know what to tell you.	2
The Seafood Dynamite is also otherworldly.	2
I'm not even going to bother to describe it; it speaks for itself.	2
Favorite Sushi in NYC	2
An unpretentious spot in Park Slope, the sushi is consistently good, the service is pleasant, effective and unassuming.	2
In the summer months, the back garden area is really nice.	2
The rolls are creative and I have yet to find another sushi place that serves up more inventive yet delicious japanese food.	2
The Dancing, White River and Millenium rolls are musts.	2
SO GOOD	2
I CAN EAT HERE EVERY DAY OF THE WEEK REALLY LOL LOVE THIS PLACE ...)	2
Gross food – Wow-	0
I can't remember the last time I had such gross food in New York.	0
My quesadilla tasted like it had been made by a three-year old with no sense of proportion or flavor.	0
And $11 for a plate of bland guacamole?	0
Don't get me started on the margaritas, either.	0
Mine tasted like the bartender had forgotten to add the tequila.	0
Save your money and your time and go somewhere else.	0
Oh, and I never write reviews--I just was so moved by how bad this place was, I felt it was my duty to spread the word.	0
Great Indian Food!	2
When I got there the place was packed but they made sure to seat me quickly.	2
The food was good, the place was clean and affordable.	2
I noticed alot of indian people eatting there which is a great sign for an indian place!	2
This is one of my favorite spot, very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .	2
The staff is very good.	2
Love their drink menu.	2
I highly recommend this beautiful place.	2
Nice for one time special occasion.	2
They honored reservation on Sunday afternoon very well. 	2
We were offered water for the table but were not told the Voss bottles of water were $8 a piece.	0
Food was OK.	1
Nice view of river and NYC.	2
I come here enjoy very much with husband.	2
Remind me of home.	2
Great survice	2
MMMMMMMMMmmmmmm so delicious	2
A beautifully designed dreamy Egyptian restaurant that gets sceney at night.	2
Watch the talented belly dancers as you enjoy delicious baba ganoush that's more lemony than smoky.	2
Oh, and there's hookah.	2
Raymond the bartender rocks!	2
Pacifico is a great place to casually hang out.	2
The drinks are great, especially when made by Raymond.	2
The omlette for brunch is great...	2
the spinach is fresh, definately not frozen...	2
quacamole at pacifico is yummy, as are the wings with chimmichuri.	2
A weakness is the chicken in the salads.	0
It's just average, just shredded, no seasoning on it.	0
Also, I personally wasn't a fan of the portobello and asparagus mole.	0
Overall, decent food at a good price, with friendly people.	1
Best Indian Restaurant in the City	2
Decor needs to be upgraded but the food is amazing!	0
This small Astoria souvlaki spot makes what many consider the best gyros in New York.	2
What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro meat and sausages), and made of much higher quality ingredients that might otherwise be expected.	2
All the various Greek and Cypriot dishes are excellent, but the gyro is the reason to come--if you don't eat one your trip was wasted.	2
Best restaurant in Brooklyn	2
The best!	2
Great food, amazing service, this place is a class act.	2
The veal was incredible last night.	2
Fresh, mind blowing flavors.	2
This place is a must visit!	2
Delicious, creative and fun.	2
Got a date? Go here!	2
Every time I have a special occasion with my boyfriend I have a hard time going anywhere else.	2
It is so romantic.	2
Its dark, and cozy.. there is always jazz music playing when we go.	2
Most of the booths allow you to sit next to eachother without looking like 'that' couple.	2
The food is all shared so we get to order together and eat together.	2
I've enjoyed 99% of the dishes we've ordered with the only exceptions being the occasional too-authentic-for-me dish (I'm a daring eater but not THAT daring).	2
Once you try it for a special occasion beware.. you can't stop!	2
You'll be ther for every anniversary, birthday, valentines day...	2
For a Fabulous Wedding!	2
My daughter's wedding reception at Water's Edge received the highest compliments from our guests.	2
Everyone raved about the atmosphere (elegant rooms and absolutely incomparable views) and the fabulous food!	2
Service was wonderful;	2
everyone was cheerfully cooperative and helpful.	2
Paul, the maitre d', was totally professional and always on top of things.	2
Thank you everyone at Water's Edge.	2
would NOT go back.	0
Service ok but unfriendly,filthy bathroom.	0
The high prices you're going to pay is for the view not for the food.	1
The bar drinks were Eh, ok to say the least.	0
The stuff tilapia was horrid...tasted like cardboard.	0
We thought the dessert would be better, Wrong!	0
$170 down the toilet...	0
oh speaking of bathroom , the mens bathroom was disgusting.	0
The floor was wet, the trash can filled with hand towels n all over the floor, no soap, and no hand towels left.	0
Good Experience	2
The wine list was extensive - though the staff did not seem knowledgeable about wine pairings.	2
"The bread we received was horrible - rock hard and cold - and the ""free"" appetizer of olives was disappointing."	0
However, our main course was wonderful.	2
I had fish and my husband had the filet - both of which exceeded our expectations.	2
The dessert (we had a pear torte) was good - but, once again, the staff was unable to provide appropriate drink suggestions.	2
When we inquired about ports - the waitress listed off several but did not know taste variations or cost.	0
Not what I would expect for the price and prestige of this location.	0
All in all, I would return - as it was a beautiful restaurant - but I hope the staff pays more attention to the little details in the future.	2
short and sweet – seating is great:it's romantic,cozy and private.	2
The boths are not as small as some of the reviews make them out to look they're perfect for 2 people.	2
The service was extremely fast and attentive(thanks to the service button on your table) but I barely understood 1 word when the waiter took our order.	2
The food was ok and fair nothing to go crazy.	1
Over all the looks of the place exceeds the actual meals.	2
So what you really end up paying for is the restaurant not the food.	0
Will prob. not return but it is a great dinning experience to try atleast once.	0
Impressed...	2
Subtle food and service	2
Noodle pudding is exactly the type of service and food I enjoy.	2
Servers are all different, Greg is my favorite.	2
Sometimes tables don't understand his sense of humor but it's refreshing to have a server who has personality, professionalism, and respects the privacy of your dinner.	2
This is the first place I've been that a runner remembers my order... hope he likes his job because I have half a mind to steal him for my restaurant.	2
Prices are fair across the board for both food and bev.	2
I go out to eat and like my courses, servers are patient and never rush courses or force another drink.	2
amazing fresh dogs but best of all endless toppings!!!	2
this place had ALL the trimmings and i mean all.	2
peppers, onions, relish, chilli, cheeses, you NAME it.	2
amazing fun for hot dog lovers of all ages PLEASE do yourself a favor and check this place out!!!!	2
BEST DINING EXPERIENCE IN THE WEST VILLAGE!	2
Stepping into Casa La Femme last night was a true experience unlike any other in New York!	2
Highly impressed from the decor to the food to the hospitality to the great night I had!	2
The have a great cocktail with Citrus Vodka and lemon and lime juice and mint leaves that is to die for!	2
Food took some time to prepare, all worth waiting for.	2
We were drawn into the belly dancing show that captivated the crowd.	2
I never write on these sites but this restaurant is def worth commending!	2
Great find in the West Village!	2
Maggot in the food!	0
The menu looked great, and the waiter was very nice, but when the food came, it was average.	2
Nevertheless, I finished my plate, and that's when I found a maggot in mushroom sauce at the bottom.	0
I showed it to the manager, and he smilingly apologized and brought us two free desserts (but did not ask us what we wanted and so brought the last two desserts we would have asked for).	2
When the bill came, nothing was comped, so I told the manager very politely that we were willing to pay for the wine, but I didn't think I should have to pay for food with a maggot in it.	0
The manager finally said he would comp the two glasses of wine (which cost less than the food), and made it seem like a big concession.	0
We paid and left because we didn't feel like arguing any more.	0
I have worked in restaurants and cook a lot, and there is no way a maggot should be able to get into well prepared food.	0
For a restaurant with such a good reputation and that is usually so packed, there was no reason for such a lack of intelligent customer service.	2
Unhygienic	0
I do not recommend.	0
I got hair in my food 2 times of then !	0
Great place, great value.	2
The food is flavorful, plentiful and reasonably priced.	2
The atmosphere is relaxed and casual.	2
It's a great place to order from or sit-in.	2
Awesome	2
Inexpensive, unassuming, great time!	2
Sushi experience was unbelievable with my fiance.	2
Try it!	2
Very pleased	2
Good creative rolls!	2
Yamato is an excellent place to go if youre not into sashimi, or if you have friends who doesnt like sushi much.	2
They have great rolls, the triple color and norwegetan rolls, are awesome and filling.	2
One special roll and one regular roll is enough to fill you up, but save room for dessert!	2
They have a delicious banana chocolate dessert, as well as a great green tea tempura.	2
The appetizers are also delicious!	2
Amazing food.	2
Mazing interior.	0
Great food!	2
I've had my fair share of modern Japanese and this spot delivers.	2
The atmosphere was pretty nice but had a bit lacking, which it tries to make up for with a crazy scheme of mirrors.	0
If you're into being lost when you're just five feet from your table then hey, that's a good thing.	0
Despite the confusing mirrors this will likely be my go-to for modern Japanese food for the foreseeable future.	2
Indo Chinese food, pretty good...	2
Not a very fancy place but very good Chinese style Indian food.	1
The chicken lollipop is my favorite, most of the dishes (I have to agree with a previous reviewer) are quite oily and very spicy, espeically the Chilli Chicken.	2
My mom originally introduced me to this place, but even she (being Indian) feels the food can be somewhat over the top spicy and far too oily.	0
Still we keep going back :)	2
I was speechless by the horrible food.	0
I attended a holiday dinner at the restaurant, and the food was majorly disappointing.	0
Rather than preparing vegetarian dish, the chef presented me with a plate of steamed vegetables (minus sauce, seasoning, or any form or aesthetic presentation).	0
I was so stunned, and I left the dinner hungry and majorly disappointing.	0
This place survives on reputation alone.	0
I will NEVER return.	0
Best In ALL of NYC	2
This is the MOST wonderful restaurant in all of New York City, not just Brooklyn...	2
for 7 years they have put out the most tasty, most delicious food and kept it that way...	2
never swaying, never a bad meal, never bad service...	2
you should travel from the Bronx to try it...	2
great food, great wine list, great service in a great neighborhood...	2
so delicious!!!!!!	2
Patsy's Pizza = true love	2
Hands down the best pizza on the planet.	2
In about 12 minutes, the thing is gone.	2
great hot dogs..	2
the hot dogs were juicy and tender inside and had plenty of crunch and snap on the outside.	2
great toppings definitely a place you need to check out for late night munchies or a mid day boost!	2
great taste	2
Great, original taste.	2
For me dishes a little oily, but overall dining experience good.	0
Helpful service and average price per dish $10.	2
The only thing that strikes you is the decor?(not very pleasant).	0
great food	2
This place has great indian chinese food.	2
The flavors are amazing and the value is phenomenal.	2
Be prepared to wait, because the place is pretty tiny.	0
Also, they do not take credit card so come with cash!	1
Even though the place is not beautiful, the food speaks for itself.	0
Best Indian Chinese in the city, by far!	2
AMAZING MY FAVORITE!!!	2
I came across Village Underground by accident, now I go there all the time.	2
The martinis are amazing and very fairly priced.	2
THE SERVICE IS AMAZING, i've had different waiters and they were all nice, which is a rare thing in NYC.	2
The DJ is awesome, I have been there for my birthday and a bunch of other times with friends and I keep going back.	2
You can get a table without a reservation if you get there early I they don't make you by bottles.	2
Which lets face it....at times it's a good thing.	2
In the end you end up with a fair tab and NOTHING BUT A GREAT TIME!!!	2
Highly recommended!	2
One of the best, if not THE best, restaurants in Park Slope (and NY in general)	2
Everything on the menu is great. 	2
This establishment is the real deal. 	2
Wish NY had more of these kind of places: intimate, superb food, homey, top notch all the way around, certainly worth the wait.	2
But $500 for a dinner for two that didn't include Wine?	0
Look, the appetizers were really good.	2
The entree was also very good.	2
Can't argue about that, but they are clearly over priced.	0
What you are paying for is the environment and the name.	1
Yes, the place is classy and beautiful, but they most certainly target the uber whealthy Not the common joe that wants to go all out every once in a while.	2
Which of course is not real Kobe but Wagyu beef.	0
Surprised that a place of this caliber would advertise it as Kobe.	0
Vanison was good but not amazing.	1
Bison was quite excellent however.	2
Dessert: pure disaster.	0
Just not good at all.	0
Some Pineapple covered in a glaze of some kind and some pear tart thing Not impressive at all.	0
I read reviews that called the restaurant too expensive and I thought to myself, but may be it is worth it.	0
"The Four Seasons has history and it is a sort of landmark of New York City restaurants, but trust me, they will charge you through the nose just so that you can say ""I've been to the four seasons restaurant""."	1
I wanted to go there to see if it was worth it and sadly, curiousity got the best of me and I paid dearly for it.	0
All in all, the food was great (except for the dessserts).	2
The environment is very upscale and you will see a lot of rich guys with trophy wives or just highly paid escorts.	1
If you are going for the food, it will not be worth it.	0
You would think they would make up for it with service, sadly, no.	0
Service was just ok, it is not what you'd expect for $500.	0
Terrible Waste of money.. scammers	0
I agree that dining at Casa La Femme is like no other dining experience!	0
I am actually offended to have spent so much money on such a bad experience.	0
I literally just got back home after visiting Casa La Femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time.	0
Our visit their to say the least, was an unpleasant and costly experience!	0
And even more so unpleasant because it was so costly for such an unpleasant experience.	0
We did arrive late for our reservation so I can not complain too much about the wait for a table.	1
Although we were told 10-15 minutes and it was more like 45 minutes.	0
We were ushered to the bar to wait momentarily and upon arrival were so excited.	2
The place is beautiful!	2
The hostess was very pleasant.	2
However, our $14 drinks were were horrible!	0
Once we finally got a table, despite indicating we wanted an alla carte menu we were pushed into a table that was only price fixed!	0
Our experience did not ever get any better.	0
For each course we waited over 1/2 hour to 45 minutes and were never offered a drink.	0
We also asked for Hooka six times and the waiter kept telling us one minute and never returning with the Hooka.	0
After the 4th time i asked again and the waiter than said after our dinner.	0
We asked for beverages and never received them.	0
We asked for sides which the waiter than admitted that he forgot to put in that part of our order.	0
My chicken was inedible as there were so many fatty lumps which i had to keep spitting out into my napkin.	0
I would not expect this for a $55 dinner.	0
By the time we finished our dinner we still had not received one beverage NOR hooka!	0
What we did do was waste 3 hours being trapped in a table waiting and waiting for food and drinks and hooka.. some of which we never received!	0
The only beverage we did receive was water in dirty glasses!	0
To top it all off.. the main reason we came to your restaurant was for the belly dancers and missed the first show as we were not seated yet and the 2nd belly dancer only danced at two tables in the back of the restaurant and never made it around to the other half of the restaurant.	0
By the time we left our wallets were empy and so were our stomachs AND we missed the show we were supposed to see following our dinner, which would have been acceptable if we got to enjoy the experience of good food and belly dancers!	0
If it seemed possible to do so while there I would have fought my bill since my dinner portion of my meal was inedible!	0
I have never left a restaurant feeling as if i was abused, and wasted my hard earned money.	0
MY husbands birthday and my sons was not as it was intended... and we drove two hours to spend too much money to be treated terribly!	0
I wish I COULD be refunded!	0
Don't go with a larger group than 4! 	0
At first we were a little taken aback, as this seemed to present a problem, although the restaurant looked fairly empty, but they hastily put the table together for us.	2
The menu is fairly simple without much descriptions. 	1
There was no tap beer that evening, which was a disappointment. 	0
Not much of a selection of bottled beer either, we went with Brahma. 	0
The appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion (maybe 3 of each). 	2
The lobster knuckles (special of the day) were ok, but pretty tasteless.	1
"I believe there were 2 shrimp in the ""salt encrusted shrimp"" appetizer. "	0
"She replied ""well it would be more convenient for us if you ordered now, since you are a larger party, and it might get crowded."" "	0
The food arrived in about 15 minutes. 	1
I had the Thai style Fried Sea Bass...which was very good. 	2
Everyone seemed generally happy with their food, except my brother who had the grilled Mahi Mahi, seemingly drenched in Grapfruit Juice! 	2
I heard the lobster roll was excellent. 	2
They seemed to continue to rush us along, taking plates without asking if we were done (my sister still had her fork in hand). 	0
All in all the food was good - a little on the expensive side, but fresh. 	2
"Service not the friendliest to our ""large party""! "	0
Probably would not go back here.	0
Great Indian food	2
Food was amazing - I love Indian food and eat it quite regularly, but I can say this is one of the best I've had.	2
"Very ""normal Indian food"", but done really well."	1
I have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which I would expect at a upscale Indian restaurant but this place doesn't have an upscale feel.	2
Also, waiters try to push more food on you, like suggest things as if they are complimentary when they actually cost $.	0
I don't appreciate places or people that try to drive up the bill without the patron's knowledge so that was a huge turnoff (more than the price).	0
But if you're prepared to spend some $ and remember to ask if something they offer is complimentary, then this is the place to go for Indian food	2
One of the BEST	2
"Bukhara Grill, the tagline says it all.. ""INDIAN SPICE RAVE"""	2
The lunch buffet is expensive but is deff worth it.	0
We have gone for dinner only a few times but the same great quality and service is given.	2
Bukhara is on my top 5 Indian places in NYC	2
Wretched and retching	0
I have never been so disgusted by both food an service.	0
For starters they delivered us someone else's order.	0
However, once I received my predictably mediocre order of what Dokebi thinks passes as Korean fair, (sometimes you have to settle when it's your only option), I got through about half my kimchee before I found a piece of random lettuce accompanied by a far more disgusting, slimy, clearly bad piece of fish skin.	0
My main concern was the sanity of the food that was being sent out to myself and others, but I would be lying is I said that as someone who has worked in restaurants since the age of fifteen I was expecting at least a minimal effort on the part of the restaurant to amend the situation.	0
None was made so i hung up.	0
Less than three minutes passed before I found myself doubled over the toilet.	0
My girlfriend, being slightly more aggressive, and having been equally disgusted causing her to throw out the remainder of her barely eaten meal, called back only to be informed that I was probably wrong and that it was most likely an oyster, and that we were also blacklisted from their restaurant.	0
It wasn't as if this restaurant had any major bragging points before hand, but now it's simply repulsive.	0
Eat at your own risk.	0
Gorgeous place ideal for a romantic dinner	2
I book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot.	2
The service was spectacular as the waiter knew everything about the menu and his recommendations were amazing!	2
I completely recommend Casa La Femme for any special occasion and to REALLY impress your date.	2
More Williamsburg Garbage	0
The dishes came out around 5 minutes apart.	0
The bibimbap was average, but the stone bowl wasn't even close to sizzling.	1
Too bad I had paid an extra $2 for the stone bowl.	0
The nakgi-bokum was horrible.	0
Easily the worst stir-fried squid I've ever tasted.	0
The sauce tasted more like Chinese fast food than decent Korean.	0
The side dishes were passable, and I did get a refill upon request.	1
The real problem I had with this place was the complete lack of service.	0
She just nodded and walked off.	0
As to my comment about the food, no apology or acknowledgment was made.	0
My wife had barely touched that mess of a dish.	0
We were charged full price.	0
Lives up to the hype	2
We've tried before but it always packed and doesn't take reservations.	1
It was well worth the wait.	2
The wife had the risotto which was amazing.	2
It doesn't look appetizing as it's covered in squid ink and it turns your lips and teeth black, but the taste was phenomenal.	0
The farro salad and the mashed yukon potatoes were also extremely tasty.	2
i love margherita pizza – i looove east village pizza	2
Love this place, every time we are in the city this is one of the places we always go.	2
A quintessential slice of NYC pizza.	1
The crust has a great bite and a good chew, the sauce is light with a nice acidity to it, the salt from the cheese is great, really heightens the flavor of all the other components.	2
Personally I like the margherita pizza better, but they are all good.	2
Possibly the Most Romantic Restaurant in the City	2
This is undoubtedly my favorite modern Japanese brasserie (that don’t serve sushi), and in my opinion, one of the most romantic restaurants in the city!	2
Not only is it an adventure getting to this somewhat hidden spot, once you enter the unmarked wooden doors, the zen and intimate décor will make you feel like you’re no longer in the city.	1
If you’re planning to come here, make sure that your date is someone whom you really like since you’ll be ushered to private booths where there will be no people or food watching (choose the ones on the ground level that have glass ceilings so you may see the stars in the sky!).	2
It’s just you and your date and an occasional cute ‘excuse me’ before the waiter opens the little curtain to your booth!	2
My party had the BBE $29 fixe prix menu, which was such a wonderful deal since it also came with a flight of sake!	2
We started off with a delightful sashimi amuse bouche.	2
I picked the Grilled Black Cod as my entree, which I absolutely devoured while someone commented that the Grilled Salmon dish was better.	2
The sake’s complimented the courses very well and is successfully easing me into the sake world.	2
For desserts, we tried the frozen black sesame mousse (interesting but not extraordinary) and matcha (powdered green tea) and blueberry cheesecake, which was phenomenal.	1
Maybe it was the great company (I had friends visiting from Philly – yes, it was not a date this time) or the super reasonable price point, but I just can’t say enough good things about this brasserie.	2
I don’t usually visit the same establishment more than once, what more twice, but I’ll come to Zenkichi anytime for a quiet, unhurried and memorable dinner.	2
Terrible would be a compliment!	0
The service leaves much to be desired, from feeling like you are rushed the place your order, to being ignored the rest of the night.	0
We paid a fixed pricce but got nothing!!	0
We never ate because by close to 2 in the monring we were not served and were too upset ad tired to start eating.	0
They are extremely rude, not even apologizing for the horrible service we got and handing us a bill well over $500 for some drinks adn their pita bread!	0
Stay away	0
Great Shabu Shabu	2
I love it.	2
I tried a couple other dishes but wasn't too impressed.	1
But for the Shabu Shabu, you won't find much better in NY.	2
The meat is fresh, the sauces are great, you get kimchi and a salad free with your meal and service is good too.	2
Dokebi gives Williamsburg the right one-two punch of classic Korean food and fusion twists like pork belly tacos.	2
The hot dogs are good, yes, but the reason to get over here is the fantastic pork croquette sandwich, perfect on its supermarket squishy bun.	2
Restaurant with a view	1
The food tasted very good.	2
The family seafood entree was very good.	2
The main entree was also very good.	2
Price is high but the food is good, so I would come back again.	2
This place doesn't make any sense	0
Just want to warn you all - don't waste your time and money.	0
This place has totally weird decor, stairs going up with mirrored walls - I am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional...	0
This place is not inviting and the food is totally weird.	0
The concept of japanese tapas is newly created and clearly doesn't work.	0
The food they serve is not comforting, not appetizing and uncooked.	0
Good Food	2
The food was great and tasty, but the sitting space was too small, I don't like being cramp in a corner.	2
Over all it was a very nice romantic place .	2
Loved it	2
A coworker and I tried Pacifico after work a few Fridays and loved it.	2
The atmosphere was great.	2
The food we ordered was excellent, although I wouldn't say the margaritas were anything to write home about.	2
Our waitress wasn't mean, but not especially warm or attentive either.	1
I must say I am surprised by the bad reviews of the restaurant earlier in the year, though.	2
Regardless, we'll be back and can't wait to visit in the summer to take advantage of the patio.	2
Dumbfoundingly Poor	0
This was, from start to finish, a mind-bogglingly uncomfortable experience.	0
Lexicographers take note: a new and fascinating definition of rudeness is alive and flourishing right here in Brooklyn.	0
The servers at Flatbush Farm appear to have perfected that ghastly technique of making you feel guilty and ashamed for deigning to attract their attention.	0
Polite acknowledgement is out;	0
supercilious scorn is in.	0
And how many times can you pick up the same perfectly aligned set of napkins, inspect them vapidly and plonk them down in exactly the same place instead of venturing a glance at people who are there to help you make the rent?	0
A different server enhanced the fun, dumping our entrees in front of us halfway through our appetizer (which was delicious).	0
Overall the food quality was pretty good, though I hear the salmon is much better when it hasn't sat cooling in front of the guest.	2
The place has a nice fit-out, some attractive furnishings and, from what I could tell, a reasonable wine list (I was given the food menu when I asked for the carte des vins)	2
At $120 for two people, however, this in no way represents value, unless you're looking to pay by the hour for passive-aggressive torture.	0
On that scale, it's a world-beater.	0
How is this palce still open?	0
I honestly don't even know where to begin.	0
We arrived and were seated immediately, which made us both happy.	2
Everything was going good until we got our meals.	2
I took one look at the chicken and I was appalled.	0
It was served with skin, over a bed of extremely undercooked spinach and mashed potatoes.	0
I took one bite from the $24 salmon, and I have never, in the 17 years I have been going to restaurants tasted salmon as fishy, as dry, and as bland as the one in Flatbush Farms.	0
At this point, the waitress comes over and asks us if everything was okay, I was literally so shocked that I was speechless and didn't say anything, and guess what, the waitress WALKED away.	0
So, I switch with my boyfriend again to see if maybe I could stomach the meat and spinach again, but the spinach was so undercooked that I just could not bite through it.	0
I couldn't even enjoy the mashed potatoes because it was hidden completely under the chicken and spinach.	0
So I decide to report back to the waitress because it was completely inedible.	0
"Guess what, I waited for TWENTY minutes before she came over and when she finally did, she says, ""oh well, I wish you would have said something earlier"" No apology, nothing."	0
After that she simply took our plates, walked away, came back another TWENTY minutes later with the bill and the chicken on it!!!!!!!!!!!!	0
No desert menu, no apology, nothing!!!!!!	0
This is where it really really gets bad: the manager said, there is absolutely nothing we can do, it's a matter of taste that she didn't like it, and I cannot comp it.	0
Again, no apology, no is there anything else I can get you, no can I get you a drink to make up for it, nothing!!!!	0
The level of rudeness was preposterous.	0
The manager came to the table and said we can do what we want, so we paid for what we did enjoy, the drinks and appetizers, and walked out.	0
I HAVE NEVER EVER HAD SUCH AN UNPLEASANT EXPERIENCE.	0
THIS STAFF SHOULD BE FIRED.	0
cirspy crust margherita pizza	2
it was really good pizza.	2
the crust was imazingly cooked well and pizza was fully loaded:):):)	2
you know what i mean all the positives things happening there made mw write this review.	2
Single Worst Restaurant in Manhattan	0
I'll being with a couple of positives: cool decor, good pita and hummus, and grilled octopus that was actually pretty tasty.	2
If I could give 0 stars I would do so for this place.	0
The reason there are 4 different results on citysearch for the same place is because they keep trying to start a new thread so they can stock it with positive reviews.	0
Well...they can run but they can't hide.	0
This place...god where do i begin.	0
It is quite a spectacular scene i'll give them that.	2
The decor however seems to be the distraction so you won't notice that you just payed 300 bucks for some cold eggplant that took 2 FRICKIN HOURS TO COME!!!!	1
How this place survives the competitive west village market in this economy, or any other for that matter, is beyond me.	0
Great Hot Dogs!	2
Though it's been crowded most times I've gone here, Bark always delivers on their food.	2
The hot dogs are top notch, and they're Slamwich is amazing!	2
Going to Bark is always worth the train ride, and will make your tongue and belly very happy!	2
Only complaint is the pricing--I believe it would be more reasonable to pay a dollar less on each item listed on the menu.	0
But nonetheless--great spot, great food.	2
Fabulous food - if the front of house staff don't put you off – 	2
It's a little out of our price range for dining there except on special occasions, but we've eaten there 6 times in the last 2 years. 	0
Each time we've been, the front of house staff (not the waiters - they're fantastic - but the people who greet and seat you) has been so hideous to us that were it not for the exceptional fish dishes I would never return. 	2
As BFC doesn't take reservations you almost always have to wait by the bar - and be abused by the front of house staff until you are seated, which can be over an hour later!	0
The frizzy retro girl (with winged/ Dame Edna glasses) will yell at you if you try to order a drink. 	0
"I was almost amused by the fact that she was turning away customers at 9pm on a Friday night because she ""had a BBQ to go to"" that night - WTF??"	0
I'd be horrified if my staff were turning away customers so early and so rudely!	0
